Name,Address,Latitude,Longitude,Ward,Primary SIC,Primary SIC description,SIC_Code_1,SIC_Code_2,SIC_Code_3,SIC_Code_4,Primary NAICS,Primary NAICS description,NAICS_1,NAICS1_Description,NAICS_2,NAICS2 Description,Employee # Range,Employee #,Location Sales Range,Location Sales,Lat2,Long2,WARD_ID
Georgeto Fitness Studi,2639 Connecticut Ave NW # 25,38.937467,-77.060131,3,799101,Health Clubs Studios & Gymnasiums,729901,Health & Fitness Program Consultants,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,8,"Less Than $500,000","$448,000 ",38.9375,-77.0600967,3
Georgetown Fitness Studio,5520 Connecticut Ave NW # 14,38.963649,-77.075322,3,799101,Health Clubs Studios & Gymnasiums,729901,Health & Fitness Program Consultants,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,6,"Less Than $500,000","$336,000 ",38.9636002,-77.0753021,3
Georgetown Pilates,1230 1/2 31st St NW,38.905942,-77.061206,2,799107,Pilates,729906,Exercise & Physical Fitness Programs,799107,Pilates,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.905899,-77.061203,2
Glorious Health Club & Art,2120 W Virginia Ave NE,38.916233,-76.979879,5,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9161987,-76.9798965,5
GMCHC Family Life Comm Ctr,605 Rhode Island Ave NE,38.906467,-77.016954,6,799935,Halls & Auditoriums,799935,Halls & Auditoriums,866107,Churches,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,813110,Religious Organizations,1 to 4,2,"Less Than $500,000","$304,000 ",38.9065018,-77.0169983,6
Gold's Gym,409 3rd St SW # 120,38.884748,-77.015698,6,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,50 to 99,50,$2.5-5 Million,"$2,800,000 ",38.8847008,-77.0157013,6
Gold's Gym,1075 19th St NW,38.903954,-77.043431,2,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,6,"Less Than $500,000","$336,000 ",38.9039993,-77.0434036,2
Gold's Gym,4310 Connecticut Ave NW,38.945787,-77.065015,3,799101,Health Clubs Studios & Gymnasiums,729901,Health & Fitness Program Consultants,729906,Exercise & Physical Fitness Programs,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,812191,Diet & Weight Reducing Centers,20 to 49,21,$1-2.5 Million,"$1,176,000 ",38.9458008,-77.0650024,3
Hard Training Club LLC,1726 Kalorama Rd NW,38.920714,-77.039742,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,864108,Clubs,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,813410,Civil & Social Organizations,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9207001,-77.0397034,1
Higher Ground Fitness,3220 17th St NW,38.932282,-77.039175,1,799106,Personal Trainers-Fitness,799101,Health Clubs Studios & Gymnasiums,799106,Personal Trainers-Fitness, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.9323006,-77.0391998,1
Huggys Personal Training Std,4000 Albemarle St NW # 201,38.947506,-77.0791,3,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9474983,-77.0791016,3
Israel Manor Inc,1251 Saratoga Ave NE,38.921798,-76.989413,5,799935,Halls & Auditoriums,799935,Halls & Auditoriums,866110,Religious Organizations,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,813110,Religious Organizations,5 to 9,6,"$500,000-1 Million","$912,000 ",38.9217987,-76.9894028,5
Jade Fitness,1310 Pennsylvania Ave SE,38.881543,-76.987792,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,19,$1-2.5 Million,"$1,064,000 ",38.8815002,-76.9878006,6
Joe Cole Recreation Ctr,1200 Morse St NE,38.901917,-76.993775,6,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$437,000 ",38.9019012,-76.9937973,6
Jones4fitness Pt,Utah Ave NW,38.966688,-77.066007,4,799106,Personal Trainers-Fitness,729906,Exercise & Physical Fitness Programs,799106,Personal Trainers-Fitness,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,20 to 49,25,$1-2.5 Million,"$1,400,000 ",38.9667015,-77.0660019,4
Josephine Butler Parks Ctr,2437 15th St NW,38.922501,-77.034909,1,799951,Parks,78107,Park Planning,799701,Recreation Centers, , ,541690,Other Scientific & Technical Consulting Services,713940,Fitness & Recreational Sports Centers,1 to 4,3, ,$0 ,38.9225006,-77.0348969,1
Joy Of Motion Dance Ctr,1333 H St NE,38.899702,-76.98738,6,791101,Dancing Instruction,791101,Dancing Instruction,799101,Health Clubs Studios & Gymnasiums, , ,611610,Fine Art Schools,713940,Fitness & Recreational Sports Centers,5 to 9,5,"Less Than $500,000","$429,000 ",38.8997002,-76.9873962,6
Joy-Motion Dance Ctr Training,5207 Wisconsin Ave NW,38.957491,-77.08371,3,791101,Dancing Instruction,791101,Dancing Instruction,799101,Health Clubs Studios & Gymnasiums, , ,611610,Fine Art Schools,713940,Fitness & Recreational Sports Centers,10 to 19,15,$1-2.5 Million,"$1,289,000 ",38.9575005,-77.0837021,3
Kinesis,3271 M St NW,38.905282,-77.064978,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9053001,-77.0650024,2
"Koebke, Robert",1722 I Washington,38.906331,-77.041391,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9062996,-77.0413971,2
LA Fitness,1101 Connecticut Ave NW # 1,38.904021,-77.03968,2,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,20 to 49,25,$1-2.5 Million,"$1,400,000 ",38.9039993,-77.0397034,2
LA Fitness,2000 L St NW,38.903405,-77.045785,2,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,20 to 49,30,$1-2.5 Million,"$1,680,000 ",38.9034004,-77.0457993,2
Livingwell Health Club At WA,1919 Connecticut Ave NW,38.916124,-77.045219,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,999966,Federal Government Contractors,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,999990,Unclassified Establishments,10 to 19,16,"$500,000-1 Million","$896,000 ",38.9160995,-77.0451965,1
M E Segal Co Inc,1039 Lawrence St NE,38.930908,-76.991148,5,752102,Parking Stations & Garages,752102,Parking Stations & Garages,799101,Health Clubs Studios & Gymnasiums, , ,812930,Parking Lots & Garages,713940,Fitness & Recreational Sports Centers,5 to 9,5,$1-2.5 Million,"$1,027,000 ",38.9309006,-76.9910965,5
Marvin Gaye Recreation Ctr,6201 Banks Pl NE,38.891357,-76.912492,7,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$218,000 ",38.8913994,-76.9124985,7
Mc Lean Gardens,3611 38th St NW,38.937756,-77.074576,3,799704,Swimming Pools-Private,799704,Swimming Pools-Private, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,11,"$500,000-1 Million","$802,000 ",38.9378014,-77.0746002,3
Metamorphitness Cross Fit,1469 Church St NW,38.91057,-77.033846,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9105988,-77.0337982,2
Metro D C Community Ctr,2000 14th St NW,38.917564,-77.032504,1,839908,Human Services Organizations,799935,Halls & Auditoriums,839908,Human Services Organizations, , ,713940,Fitness & Recreational Sports Centers,813311,Human Rights Organizations,5 to 9,6, ,$0 ,38.9175987,-77.0325012,1
Metro Dc Community Ctr,1318 U St NW,38.916963,-77.030052,1,799935,Halls & Auditoriums,799935,Halls & Auditoriums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,4,"$500,000-1 Million","$608,000 ",38.9169998,-77.030098,1
Metroplex Health & Nutrition,804 Rittenhouse St NW,38.964774,-77.024753,4,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,804909,Nutritionists,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,621399,Offices Of All Other Misc Health Practitioners,1 to 4,4,"Less Than $500,000","$224,000 ",38.9648018,-77.0246964,4
Mint,1001 16th St NW,38.902728,-77.03649,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9026985,-77.036499,2
Mint,1724 California St NW,38.917538,-77.0409,1,799102,Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799102,Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,20 to 49,40,$1-2.5 Million,"$2,240,000 ",38.9174995,-77.0409012,1
Newcomer Community Svc Ctr Inc,1628 16th St NW # 316,38.912119,-77.037147,2,839998,Non-Profit Organizations,799701,Recreation Centers,839998,Non-Profit Organizations, , ,713940,Fitness & Recreational Sports Centers,813319,Other Social Advocacy Organizations,5 to 9,6, ,$0 ,38.9121017,-77.0371017,2
Northwest Sport & Health,4001 Brandywine St NW # 2,38.950038,-77.079461,3,799102,Gymnasiums,729995,Yoga,799101,Health Clubs Studios & Gymnasiums, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,50 to 99,80,$2.5-5 Million,"$4,480,000 ",38.9500008,-77.0794983,3
Old City Crossfit,810 H St NE,38.900346,-76.994395,6,799101,Health Clubs Studios & Gymnasiums,729934,Weight Control Services,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,1 to 4,2,"Less Than $500,000","$112,000 ",38.9002991,-76.9944,6
One To One Fitness,555 13th St NW # C112,38.896881,-77.028594,2,799101,Health Clubs Studios & Gymnasiums,594136,Exercise Equipment-Retail,729906,Exercise & Physical Fitness Programs,713940,Fitness & Recreational Sports Centers,451110,Sporting Goods Stores,812191,Diet & Weight Reducing Centers,10 to 19,10,"$500,000-1 Million","$560,000 ",38.8969002,-77.0286026,2
One To One Fitness Ctr,1750 K St NW # 1,38.902184,-77.04071,2,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,10 to 19,15,"$500,000-1 Million","$840,000 ",38.9021988,-77.0407028,2
Orangetheory Fitness,425 I St NW,38.901346,-77.016499,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9012985,-77.0165024,6
Oriental Oasis,1090 Vermont Ave NW # 2,38.90336,-77.033631,2,799105,Health Spas,723119,Spas-Beauty & Day,799105,Health Spas,713940,Fitness & Recreational Sports Centers,812112,Beauty Salons,713940,Fitness & Recreational Sports Centers,10 to 19,16,"$500,000-1 Million","$896,000 ",38.9034004,-77.0335999,2
P Spot,518 10th St NE,38.896903,-76.99279,6,799101,Health Clubs Studios & Gymnasiums,513705,Women's Apparel-Wholesale,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,424330,Womens Children/Infnt Clothing/Acces Mrchnt Whlsrs,713940,Fitness & Recreational Sports Centers,5 to 9,8,"Less Than $500,000","$448,000 ",38.8969002,-76.9927979,6
P Spot LLC,617 Rhode Island Ave NE,38.920485,-76.997286,5,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9205017,-76.9972992,5
Past Tense,3253 Mount Pleasant St NW,38.932364,-77.038592,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9323997,-77.0385971,1
Planet Fitness,1406 Okie St NE,38.914787,-76.983996,5,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,10,"$500,000-1 Million","$560,000 ",38.9147987,-76.9840012,5
Pole Pressure,1322 14th St NW # 2,38.908003,-77.032272,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9080009,-77.0323029,2
Potomac Pilates,5185 Macarthur Blvd NW,38.926735,-77.102845,3,799107,Pilates,799107,Pilates, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$168,000 ",38.9267006,-77.1027985,3
Primal Fitness,219 M St NW,38.905823,-77.014252,6,799106,Personal Trainers-Fitness,799106,Personal Trainers-Fitness, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$168,000 ",38.9057999,-77.0142975,6
Pure Barre,407 8th St SE # B,38.883432,-76.995243,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.8834,-76.9952011,6
Pure Barre,2130 P St NW # 2,38.909594,-77.048117,2,799101,Health Clubs Studios & Gymnasiums,596104,E-Commerce,729906,Exercise & Physical Fitness Programs,713940,Fitness & Recreational Sports Centers,454111,Electronic Shopping,812191,Diet & Weight Reducing Centers,5 to 9,6,"Less Than $500,000","$336,000 ",38.9095993,-77.0481033,2
Pure Barre,3308 Wisconsin Ave NW,38.933726,-77.072474,3,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9337006,-77.0725021,3
Quantum Physical Therapy,2130 P St NW # Level,38.909594,-77.048117,2,799107,Pilates,729906,Exercise & Physical Fitness Programs,729917,Massage Therapists, , ,812191,Diet & Weight Reducing Centers,812199,Other Personal Care Services,10 to 19,15,"$500,000-1 Million","$840,000 ",38.9095993,-77.0481033,2
Quantum Pilates,2130 P St NW,38.909594,-77.048117,2,799107,Pilates,729906,Exercise & Physical Fitness Programs,729917,Massage Therapists,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,812199,Other Personal Care Services,5 to 9,5,"Less Than $500,000","$280,000 ",38.9095993,-77.0481033,2
Reformation Fitness,1300 9th St NW,38.907374,-77.024158,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799102,Gymnasiums,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9073982,-77.0242004,2
Rock Creek Park Tennis Ctr,4850 Colorado Ave NW,38.950862,-77.038441,4,799971,Tennis Courts-Public,799971,Tennis Courts-Public, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,11,$1-2.5 Million,"$1,673,000 ",38.950901,-77.0383987,4
Satori Sports, ,38.920243,-77.037092,1,729906,Exercise & Physical Fitness Programs,729906,Exercise & Physical Fitness Programs,799106,Personal Trainers-Fitness, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,6,$1-2.5 Million,"$1,104,000 ",38.9202003,-77.0371017,1
Silhouettes Fitness,3220 17th St NW,38.932282,-77.039175,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9323006,-77.0391998,1
Sitar Arts Ctr,1700 Kalorama Rd NW # 101,38.920868,-77.039181,1,841202,Arts Organizations & Information,799935,Halls & Auditoriums,841202,Arts Organizations & Information, , ,713940,Fitness & Recreational Sports Centers,712110,Museums,5 to 9,9, ,$0 ,38.9208984,-77.0391998,1
Solid Core,1821 7th St NW,38.914862,-77.021856,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9149017,-77.0218964,1
Soul Cycle,2301 M St NW,38.905638,-77.050379,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9056015,-77.0503998,2
Sport & Health,4000 Wisconsin Ave NW # B,38.94159,-77.077173,3,799102,Gymnasiums,594113,Sporting Goods-Retail,729995,Yoga, , ,451110,Sporting Goods Stores,812191,Diet & Weight Reducing Centers,50 to 99,60,$2.5-5 Million,"$3,360,000 ",38.9416008,-77.0772018,3
Squash On Fire,1170 22nd St NW,38.904451,-77.049134,2,799711,Squash Courts-Private,799711,Squash Courts-Private, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,5,"Less Than $500,000","$364,000 ",38.9043999,-77.0491028,2
St John's Community Ctr,2100 M St NW,38.905619,-77.046625,2,799935,Halls & Auditoriums,799935,Halls & Auditoriums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,5,"$500,000-1 Million","$760,000 ",38.9056015,-77.0466003,2
Stacie B Isenberg Psyd Pllc,5028 Wisconsin Ave NW,38.955518,-77.083465,3,804922,Psychologists,799101,Health Clubs Studios & Gymnasiums,804922,Psychologists, , ,713940,Fitness & Recreational Sports Centers,621399,Offices Of All Other Misc Health Practitioners,1 to 4,4,"Less Than $500,000","$411,000 ",38.9555016,-77.0835037,3
Star Clinic,1112 16th St NW # 200,38.904211,-77.036971,2,801102,Sports Medicine & Injuries,799101,Health Clubs Studios & Gymnasiums,801102,Sports Medicine & Injuries, , ,713940,Fitness & Recreational Sports Centers,621111,Offices Of Physicians (Exc Mental Health Specs),1 to 4,4,"$500,000-1 Million","$888,000 ",38.9042015,-77.0370026,2
Sutton Tower Racquet Club,3101 New Mexico Ave NW,38.932717,-77.082834,3,799702,Racquetball Courts-Private,799702,Racquetball Courts-Private, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,4,"Less Than $500,000","$291,000 ",38.9327011,-77.0828018,3
Taft Recreation Ctr,1800 Perry St NE,38.936217,-76.979834,5,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$218,000 ",38.9361992,-76.9797974,5
Techworld Swim & Fitness Club,999 9th St NW,38.901676,-77.023496,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9016991,-77.0234985,2
THEARC,1901 Mississippi Ave SE,38.84262,-76.976511,8,801104,Clinics,799701,Recreation Centers,801104,Clinics, , ,713940,Fitness & Recreational Sports Centers,621493,Freestanding Ambulatory Surgical & Emergency Ctrs,10 to 19,10,$1-2.5 Million,"$2,222,000 ",38.8426018,-76.9765015,8
Thomas Circle Fitness Ctr,1 Thomas Cir NW,38.905279,-77.032779,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9053001,-77.0327988,2
Thomas Circle Sports Club,1339 Green Ct NW,38.904593,-77.031043,2,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,10 to 19,14,"$500,000-1 Million","$784,000 ",38.9045982,-77.0309982,2
Thurgood Marshall Rec Ctr,31st & Lincoln Dr NE,38.833251,-77.002986,8,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$437,000 ",38.8333015,-77.0029984,8
Tony's Boxing Gym,1216 Mount Olivet Rd NE,38.910409,-76.984934,5,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799102,Gymnasiums,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,1 to 4,4,"Less Than $500,000","$224,000 ",38.9104004,-76.9849014,5
Tool Box,1621 Connecticut Ave NW,38.911855,-77.044249,2,799107,Pilates,525115,Tools-New & Used,799107,Pilates,713940,Fitness & Recreational Sports Centers,444130,Hardware Stores,713940,Fitness & Recreational Sports Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.9118996,-77.0442963,2
True 180 Fitness,1070 Thomas Jefferson St NW,38.90457,-77.060277,2,799106,Personal Trainers-Fitness,729906,Exercise & Physical Fitness Programs,729934,Weight Control Services, , ,812191,Diet & Weight Reducing Centers,812191,Diet & Weight Reducing Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.9045982,-77.0603027,2
Ultimate Results,3050 K St NW # 140,38.902211,-77.060566,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9021988,-77.0606003,2
Vengo Cycle,1508 14th St NW,38.909989,-77.032281,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9099998,-77.0323029,2
Victory Youth Ctr,4265 4th St SE,38.827878,-77.000627,8,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799102,Gymnasiums,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,1 to 4,3,"Less Than $500,000","$168,000 ",38.8278999,-77.0006027,8
Vida Fitness,445 K St NW,38.902569,-77.017422,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9025993,-77.0174026,6
Vida Fitness,1517 15th St NW,38.910214,-77.034516,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9101982,-77.0345001,2
Vida Fitness,1612 U St NW # 400,38.916733,-77.037614,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9166985,-77.0375977,2
Vida Fitness,601 F St NW,38.897442,-77.020905,2,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,20 to 49,40,$1-2.5 Million,"$2,240,000 ",38.8973999,-77.0208969,2
Vida Fitness Navy Yard,1212 4th St SE,38.875281,-77.000507,6,799101,Health Clubs Studios & Gymnasiums,78206,Lawn & Grounds Maintenance,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,561730,Landscaping Services,713940,Fitness & Recreational Sports Centers,5 to 9,8,"Less Than $500,000","$448,000 ",38.8753014,-77.0005035,6
Vida Fitness Renaissance,999 9th St NW,38.901676,-77.023496,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9016991,-77.0234985,2
Washington Dc Jcc,1529 16th St NW,38.910837,-77.035798,2,832294,Community Centers,799101,Health Clubs Studios & Gymnasiums,832294,Community Centers, , ,713940,Fitness & Recreational Sports Centers,624110,Child & Youth Services,100 to 249,130, ,$0 ,38.9108009,-77.0357971,2
Washington Pool Svc,4100 W St NW,38.919276,-77.082248,3,179985,Swimming Pool Repair & Service,179985,Swimming Pool Repair & Service,799701,Recreation Centers, , ,236220,Commercial & Institutional Building Construction,713940,Fitness & Recreational Sports Centers,1 to 4,1,"Less Than $500,000","$414,000 ",38.9193001,-77.0821991,3
