Name,Address,Latitude,Longitude,Ward,Primary SIC,Primary SIC description,SIC_Code_1,SIC_Code_2,SIC_Code_3,SIC_Code_4,Primary NAICS,Primary NAICS description,NAICS_1,NAICS1_Description,NAICS_2,NAICS2 Description,Employee # Range,Employee #,Location Sales Range,Location Sales,Lat2,Long2,WARD_ID
Body You Want,1070 Thomas Jefferson St NW #A,38.90457,-77.060277,2,799106,Personal Trainers-Fitness,729906,Exercise & Physical Fitness Programs,729934,Weight Control Services, , ,812191,Diet & Weight Reducing Centers,812191,Diet & Weight Reducing Centers,5 to 9,6,"Less Than $500,000","$336,000 ",38.9045982,-77.0603027,2
Bodysmith Personal Training,1630 14th St NW,38.91223,-77.032342,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,874802,Training Consultants,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,541612,Human Resources Consulting Services,20 to 49,40,$1-2.5 Million,"$2,240,000 ",38.9122009,-77.0323029,2
Brookland Manor Recreation Ctr,2511 14th St NE,38.923051,-76.986197,5,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,7,"$500,000-1 Million","$510,000 ",38.9230003,-76.9861984,5
C 2 Fitness Club,400 7th St SW,38.884054,-77.020858,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.8841019,-77.0208969,6
Capital City Club & Spa,1001 16th St NW,38.902728,-77.03649,2,799101,Health Clubs Studios & Gymnasiums,723119,Spas-Beauty & Day,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812112,Beauty Salons,713940,Fitness & Recreational Sports Centers,20 to 49,40,$1-2.5 Million,"$2,240,000 ",38.9026985,-77.036499,2
Capital Hill Fitness,725 8th St SE # 1,38.880353,-76.99516,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.8804016,-76.9952011,6
Capital Pilates,4900 Massachusetts Ave NW # 31,38.94553,-77.097257,3,799107,Pilates,729906,Exercise & Physical Fitness Programs,799107,Pilates,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.9454994,-77.0972977,3
Capitol Fitness USA LLC,1021 17th St NE,38.903153,-76.978823,5,799101,Health Clubs Studios & Gymnasiums,729901,Health & Fitness Program Consultants,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,8,"Less Than $500,000","$448,000 ",38.9031982,-76.9787979,5
Center Pointe,1802 Adams Mill Rd NW,38.923108,-77.043037,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9230995,-77.0429993,1
Chevy Chase Personal Training,5520 Connecticut Ave NW,38.963649,-77.075322,3,799106,Personal Trainers-Fitness,799106,Personal Trainers-Fitness, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9636002,-77.0753021,3
Chevy Chase Plaza Inc,5301 Wisconsin Ave NW,38.959312,-77.084436,3,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,5,"Less Than $500,000","$364,000 ",38.959301,-77.0843964,3
Commerce Occupational Health,1401 Constitution Ave NW,38.892094,-77.032019,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$168,000 ",38.8921013,-77.0319977,2
Community Service Edgewood,2574 Naylor Rd SE,38.863921,-76.970572,7,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$145,000 ",38.8638992,-76.9705963,7
Congress Heights Senior Wllnss,3500 Martin Luther King Jr Ave,38.84017,-77.004327,8,809921,Wellness Programs,799101,Health Clubs Studios & Gymnasiums,809921,Wellness Programs, , ,713940,Fitness & Recreational Sports Centers,621999,All Other Misc Ambulatory Health Care Services,5 to 9,6,$1-2.5 Million,"$1,053,000 ",38.8401985,-77.004303,8
Core Power Yoga,1055 T Jeffersn St NW # L14,38.903762,-77.059765,2,799949,Yoga Instruction,799101,Health Clubs Studios & Gymnasiums,799949,Yoga Instruction, , ,713940,Fitness & Recreational Sports Centers,611699,All Other Miscellaneous Schools & Instruction,1 to 4,2,"Less Than $500,000","$304,000 ",38.903801,-77.0597992,2
Corps Community Ctr,3335 Sherman Ave NW,38.93178,-77.02656,1,799935,Halls & Auditoriums,799935,Halls & Auditoriums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,4,"$500,000-1 Million","$608,000 ",38.9318008,-77.0266037,1
Couturefit Fitness Svc,1075 19th St NW,38.903954,-77.043431,2,799106,Personal Trainers-Fitness,729901,Health & Fitness Program Consultants,729906,Exercise & Physical Fitness Programs,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,812191,Diet & Weight Reducing Centers,1 to 4,1,"Less Than $500,000","$56,000 ",38.9039993,-77.0434036,2
Crew Club,1321 14th St NW,38.907995,-77.031894,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,13,"$500,000-1 Million","$728,000 ",38.9080009,-77.0318985,2
Cross Fit Balance,1111 14th St NW,38.904246,-77.031512,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9042015,-77.0315018,2
Cross Fit DC,1365 H St NE,38.900056,-76.986143,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9001007,-76.9860992,6
Cross Fit DC,1722 14th St NW # 2,38.913377,-77.03228,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,804101,Chiropractors DC,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,621310,Offices Of Chiropractors,1 to 4,2,"Less Than $500,000","$112,000 ",38.9133987,-77.0323029,2
Cross Fit Extreme Fitness,1401 New York Ave NW,38.899794,-77.032241,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.8997993,-77.0322037,2
Cross Fit Hierarchy,1681 Kalorama Rd NW,38.921931,-77.038491,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9219017,-77.0384979,1
Cross Fit Inc,1250 Connecticut Ave NW # 200,38.906839,-77.042234,2,799101,Health Clubs Studios & Gymnasiums,679401,Franchising,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,533110,Lessors Of Non-Financial Intangible Assets,713940,Fitness & Recreational Sports Centers,1 to 4,3, ,$0 ,38.9067993,-77.0421982,2
Cross Fit Praxis,2217 14th St NW,38.919717,-77.031585,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$168,000 ",38.9197006,-77.031601,1
Crunch,555 12th St NW # 5,38.896703,-77.027621,2,799101,Health Clubs Studios & Gymnasiums,596104,E-Commerce,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,454111,Electronic Shopping,713940,Fitness & Recreational Sports Centers,20 to 49,30,$1-2.5 Million,"$1,680,000 ",38.8967018,-77.0276031,2
Crunch,5100 Wisconsin Ave NW # A,38.956296,-77.084012,3,799101,Health Clubs Studios & Gymnasiums,596104,E-Commerce,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,454111,Electronic Shopping,713940,Fitness & Recreational Sports Centers,20 to 49,30,$1-2.5 Million,"$1,680,000 ",38.9562988,-77.0839996,3
D C Boxing & Fitness Inc,1000 New Jersey Ave SE,38.878066,-77.004062,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799978,Boxing Instruction,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,611620,Sports & Recreation Instruction,5 to 9,8,"Less Than $500,000","$448,000 ",38.8781013,-77.004097,6
D C Dynasty Baseball,1008 Rittenhouse St NW # E,38.964722,-77.028228,4,799701,Recreation Centers,799701,Recreation Centers, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$218,000 ",38.9646988,-77.0281982,4
Dc HA Park Morton Nghbrhd,620 Morton St NW,38.931944,-77.022226,1,799701,Recreation Centers,799701,Recreation Centers,832222,Youth Organizations & Centers,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,624110,Child & Youth Services,10 to 19,15,$1-2.5 Million,"$1,094,000 ",38.9319,-77.0222015,1
DCPPCC,3720 Upton St NW,38.941592,-77.07385,3,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,805102,Health Care Facilities,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,623110,Nursing Care Facilities (Skilled Nursing Fclts),5 to 9,9,"$500,000-1 Million","$504,000 ",38.9416008,-77.0738983,3
Definitions Personal Trainer,1050 Thomas Jefferson St NW,38.903483,-77.0604,2,799106,Personal Trainers-Fitness,799106,Personal Trainers-Fitness, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9034996,-77.0604019,2
